ndc,ADHD,ANTIDEPRESSANT,ANTIPSYCHOTIC,MOODSTABILIZER,ANTIANXIETY,SLEEP
635520035,1,0,0,0,0,0
635520036,1,0,0,0,0,0
635520037,1,0,0,0,0,0
677670101,1,0,0,0,0,0
677670103,1,0,0,0,0,0
677670106,1,0,0,0,0,0
677670107,1,0,0,0,0,0
004068884,1,0,0,0,0,0
004068885,1,0,0,0,0,0
004068886,1,0,0,0,0,0
004068891,1,0,0,0,0,0
004068893,1,0,0,0,0,0
004068894,1,0,0,0,0,0
007560139,1,0,0,0,0,0
007560316,1,0,0,0,0,0
007560317,1,0,0,0,0,0
007560318,1,0,0,0,0,0
007560319,1,0,0,0,0,0
007560320,1,0,0,0,0,0
007560321,1,0,0,0,0,0
007560322,1,0,0,0,0,0
548685007,1,0,0,0,0,0
548685103,1,0,0,0,0,0
548685140,1,0,0,0,0,0
548685142,1,0,0,0,0,0
633040908,1,0,0,0,0,0
633040909,1,0,0,0,0,0
633040910,1,0,0,0,0,0
633040911,1,0,0,0,0,0
005550971,1,0,0,0,0,0
548684631,1,0,0,0,0,0
005550775,1,0,0,0,0,0
005550776,1,0,0,0,0,0
005550777,1,0,0,0,0,0
548685007,1,0,0,0,0,0
007560320,1,0,0,0,0,0
004068885,1,0,0,0,0,0
007560139,1,0,0,0,0,0
007560319,1,0,0,0,0,0
004068886,1,0,0,0,0,0
007560317,1,0,0,0,0,0
004068884,1,0,0,0,0,0
007560316,1,0,0,0,0,0
004068891,1,0,0,0,0,0
548685140,1,0,0,0,0,0
548684640,1,0,0,0,0,0
548685368,1,0,0,0,0,0
548685368,1,0,0,0,0,0
548685387,1,0,0,0,0,0
548685387,1,0,0,0,0,0
548684410,1,0,0,0,0,0
005550765,1,0,0,0,0,0
005550766,1,0,0,0,0,0
005550767,1,0,0,0,0,0
005550764,1,0,0,0,0,0
005550762,1,0,0,0,0,0
005550763,1,0,0,0,0,0
636293768,1,0,0,0,0,0
636293769,1,0,0,0,0,0
005550792,1,0,0,0,0,0
005550788,1,0,0,0,0,0
005550791,1,0,0,0,0,0
005550787,1,0,0,0,0,0
005550789,1,0,0,0,0,0
005550790,1,0,0,0,0,0
548686029,1,0,0,0,0,0
001850111,1,0,0,0,0,0
001151328,1,0,0,0,0,0
001151329,1,0,0,0,0,0
001151330,1,0,0,0,0,0
001151331,1,0,0,0,0,0
001151332,1,0,0,0,0,0
001151333,1,0,0,0,0,0
548683976,1,0,0,0,0,0
548683976,1,0,0,0,0,0
001850084,1,0,0,0,0,0
548686033,1,0,0,0,0,0
548686028,1,0,0,0,0,0
548686034,1,0,0,0,0,0
005550768,1,0,0,0,0,0
165900901,1,0,0,0,0,0
636293731,1,0,0,0,0,0
647200130,1,0,0,0,0,0
647200132,1,0,0,0,0,0
647200135,1,0,0,0,0,0
548685470,1,0,0,0,0,0
548686192,1,0,0,0,0,0
548686227,1,0,0,0,0,0
002283059,1,0,0,0,0,0
002283060,1,0,0,0,0,0
002283061,1,0,0,0,0,0
002283062,1,0,0,0,0,0
002283063,1,0,0,0,0,0
002283064,1,0,0,0,0,0
636293730,1,0,0,0,0,0
004068892,1,0,0,0,0,0
131070068,1,0,0,0,0,0
131070069,1,0,0,0,0,0
131070070,1,0,0,0,0,0
131070071,1,0,0,0,0,0
131070072,1,0,0,0,0,0
131070073,1,0,0,0,0,0
131070074,1,0,0,0,0,0
576640641,1,0,0,0,0,0
576640642,1,0,0,0,0,0
576640643,1,0,0,0,0,0
576640644,1,0,0,0,0,0
576640645,1,0,0,0,0,0
576640646,1,0,0,0,0,0
576640647,1,0,0,0,0,0
578440105,1,0,0,0,0,0
578440110,1,0,0,0,0,0
578440112,1,0,0,0,0,0
578440115,1,0,0,0,0,0
578440117,1,0,0,0,0,0
578440120,1,0,0,0,0,0
578440130,1,0,0,0,0,0
459630745,1,0,0,0,0,0
459630748,1,0,0,0,0,0
459630749,1,0,0,0,0,0
459630743,1,0,0,0,0,0
647200131,1,0,0,0,0,0
647200133,1,0,0,0,0,0
647200134,1,0,0,0,0,0
680840815,1,0,0,0,0,0
680840832,1,0,0,0,0,0
680840874,1,0,0,0,0,0
680840880,1,0,0,0,0,0
680840887,1,0,0,0,0,0
680840898,1,0,0,0,0,0
680840909,1,0,0,0,0,0
606870133,1,0,0,0,0,0
606870154,1,0,0,0,0,0
680840936,1,0,0,0,0,0
680840943,1,0,0,0,0,0
001151486,1,0,0,0,0,0
001151487,1,0,0,0,0,0
